时间(s),温度(摄氏度)
415.5,57.546
416,57.258
416.5,56.972
417,56.689
417.5,56.408
418,56.129
418.5,55.852
419,55.578
419.5,55.306
420,55.036
420.5,54.769
421,54.503
421.5,54.24
422,53.979
422.5,53.72
423,53.463
423.5,53.209
424,52.956
424.5,52.706
425,52.457
425.5,52.211
426,51.967
426.5,51.725
427,51.485
427.5,51.246
428,51.01
428.5,50.776
429,50.544
429.5,50.314
430,50.085
430.5,49.859
431,49.634
431.5,49.412
432,49.191
432.5,48.972
433,48.755
433.5,48.54
434,48.326
434.5,48.115
435,47.905
435.5,47.697
